,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
850,SSS2v0006,20,No,Using earphones,5 to 16,English,,,,SONA for course credit,,No,Female,,7,9+,"Yes, I do alright",Piano,Agree,Agree,Tried to remember the melodies by using my fingers as a guidance for the notes,2021-12-02 11:08:57,41473
851,SSS2v0007,19,No,in-ear,,English,,,,SONA for course credit,,No,Male,,2,0,No,,Agree,Agree,,2021-12-02 11:30:42,41630
852,SSS2v0008,20,No,in-ear,6-8,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,4,2-3,No,,Strongly Agree,Agree,,2021-12-02 14:26:00,42259
853,SSS2v0009,19,No,headphones,,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,0,0,No,,Agree,Agree,closing my eyes and count the beats,2021-12-04 00:16:36,40661
854,SSS2v0010,19,No,"over-the-ear, JBL Tune 660 Noise Cancelling Bluetooth Wireless On-Ear Headphones - Black",9-20,Other (please specify below):,"I  notices changes in both the notes, either flatter or sharper, either in the same harmonic melody or not, and changes in the progression of the notes.",,,SONA for course credit,Greek,Yes,Female,,9,6-8,"Yes, I do alright","Piano, ukulele",Strongly Agree,Disagree,"I mapped out the melody in my mind like it would be played on the piano. So, I memorized the notes' progression going up and down. Then, when I heard the options I naturally heard the inconsistent notes. Sometimes the wrong notes felt more different than wrong progression but similar notes.",2021-12-10 09:38:26,40189
855,SSS2v0011,22,No,-,0,English,,,,SONA for course credit,,No,Male,0,6,9+,No,0,Neither Agree nor Disagree,Neither Agree nor Disagree,0,2021-12-02 13:09:55,41515
856,SSS2v0013,18,No,in ear,,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,3,0,No,,Agree,Strongly Agree,,2021-12-02 13:05:23,42074
857,SSS2v0014,20,No,"earphone, in-ear",10-15,Other (please specify below):,,,,SONA for course credit,Korean,No,Female,,2,6-8,"Yes, I do alright",flute,Strongly Agree,Strongly Agree,,2021-12-02 18:20:38,39999
858,SSS2v0015,20,No,in-ear headphones,6-16,Chinese (Mandarin),Some options have significantly higher or lower notes,,,SONA for course credit,,Yes,Female,,5,9+,"Yes, I do alright",piano,Strongly Agree,Neither Agree nor Disagree,The flow of the entire section of music,2021-12-02 14:46:25,42311
859,SSS2v0016,20,No,headphones,,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,5,1,"Yes, but not so well",piano,Agree,Agree,,2021-12-02 15:28:02,42317
860,SSS2v0018,18,No,headphones(in ear),7,Other (please specify below):,I noticed the sudden changes in the notes.,,,SONA for course credit,Marathi,Yes,Female,,5,1,"Yes, but not so well",Piano,Strongly Agree,Strongly Disagree,remembered the tune,2021-12-02 15:00:51,41634
861,SSS2v0019,20,No,Earphones,10-13,English,,,,SONA for course credit,,No,Male,,6,2-3,"Yes, I do alright",Gutair ,Strongly Agree,Agree,tones that sounded too high or low,2021-12-02 14:54:11,39908
862,SSS2v0020,19 years old,No,in-ear headphones,age range of 5-10,English,I based it on the ending if there were distinct differences. ,,,SONA for course credit,,Yes,Male,,3,4-5,No,,Strongly Agree,Agree,Tones of the different chords. ,2021-12-02 15:42:37,41747
863,SSS2v0021,19,No,Apple Airpods 1st gen,,English,,,,SONA for course credit,,No,Male,,2,0,No,,Agree,Agree,I tried to replay the sounds in my head.,2021-12-02 15:14:48,41537
864,SSS2v0022,18,No,in-ear headphone,,English,changes in tone. Some were lower volume than others ,,,SONA for course credit,,Yes,Female,,0,0,No,,Agree,Neither Agree nor Disagree,,2021-12-03 13:25:18,41490
865,SSS2v0023,28,No,in-ear,9-12,Other (please specify below):,I could've identified the difference in pitches and omissions. ,,,SONA for course credit,Korean,Yes,Male,,5,2-3,"Yes, but not so well",Clarinet,Strongly Agree,Agree,sketched a somewhat-like sound wave,2021-12-02 15:29:25,41989
866,SSS2v0027,18,Yes,"In ear headphones, airpods",4-7,Spanish,rythm of melodies ,,,SONA for course credit,,Yes,Female,I started using the strategy around block 4,8,2-3,No,,Strongly Agree,Agree,memory,2021-12-02 16:49:05,41909
867,SSS2v0029,22,No,In-ear,,English,,,,SONA for course credit,,No,Female,,3,0,No,,Strongly Agree,Neither Agree nor Disagree,Memory,2021-12-02 16:52:21,41871
868,SSS2v0030,21,No,,,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,3,6-8,"Yes, I do alright",piano,Agree,Neither Agree nor Disagree,,2021-12-02 17:02:43,42004
869,SSS2v0031,21,No,Airpods,7-9,English,,,,SONA for course credit,,No,Female,,2,2-3,No,Piano,Agree,Agree,Did not,2021-12-07 18:46:26,40809
870,SSS2v0032,21,No,in-ear headphones,,English,,,,SONA for course credit,,No,Male,,3,0,No,,Agree,Neither Agree nor Disagree,,2021-12-02 17:36:39,41979
871,SSS2v0033,20,No,Apple airpods second generation,6-9,English,,,,SONA for course credit,,No,Female,,3,2-3,"Yes, but not so well",piano,Strongly Agree,Strongly Agree,"I compared the first variation of the melody to the original, and then compared the second variation of the melody to the first variation of the melody.",2021-12-02 17:56:11,38825
872,SSS2v0035,24,No,in-ear headphones,,Other (please specify below):,there were certain tones that are very different from the original,,,SONA for course credit,korean,Yes,Male,,0,0,No,,Strongly Agree,Strongly Disagree,memorization and tapping fingers,2021-12-02 17:27:32,33891
873,SSS2v0036,19,Yes,Airpods pro,12-15,English,Sometimes an options would have more or less notes than the test,,,SONA for course credit,,Yes,Male,There were also times when the key was off,6,2-3,"Yes, I do alright",Violin,Strongly Agree,Agree,"There seemed to be ""one-off"" notes in key or certain additional notes added in",2021-12-02 17:28:00,41892
874,SSS2v0038,21,No,in ear heaphones ,,English,If the pitch of the notes changed or if they were different notes entirely,,,SONA for course credit,,Yes,Female,,3,0,No,,Strongly Agree,Disagree,,2021-12-02 18:12:57,37241
875,SSS2v0041,20,No,inear,,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,5,0,No,,Neither Agree nor Disagree,Neither Agree nor Disagree,no,2021-12-02 18:38:10,42049
876,SSS2v0042,20,No,in-ear,,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,0,0,No,,Disagree,Strongly Agree,Just by memory,2021-12-02 23:21:21,41891
877,SSS2v0043,21,No,laptop speaker,8-9,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,4,1,No,,Agree,Agree,no,2021-12-04 19:35:23,41966
878,SSS2v0045,19,Yes,over the ear beats solo,nine-present,English,i would listen to see if notes sounded out of place,,,SONA for course credit,,Yes,Female,sometimes i would try to follow whether the notes were going up or down,8,9+,"Yes, I do alright","clarinet, piano",Strongly Agree,Neither Agree nor Disagree,listen for any weird breaks in the pattern,2021-12-02 20:50:00,42306
879,SSS2v0046,18,No,headphones,,Spanish,,,,SONA for course credit,,No,Female,,4,0,No,,Agree,Neither Agree nor Disagree,,2021-12-02 21:19:59,41885
880,SSS2v0047,20,No,speakers,,English,,,,SONA for course credit,,No,Female,,2,0,No,,Strongly Agree,Strongly Disagree,no particular strategy just by ear,2021-12-02 21:39:45,41242
881,SSS2v0048,20,No,"headphones over the ears, steel series wireless headset <3",,English,,,,SONA for course credit,,No,Male,,2,0,"Yes, but not so well",PIANO,Agree,Agree,listened for very distinct notes,2021-12-02 22:05:56,39530
882,SSS2v0049,20,No,"in-ear speaker, apple air-pods",8-10,English,"i divide the melody into three parts, the intro, middle and the end. I usually notice that the intro and the end are the same for all options so I tend to focus more of the melodies in the middle.",,,SONA for course credit,,Yes,Female,,2,2-3,"Yes, but not so well","piano, ukulele",Agree,Agree,i try to memorize it,2021-12-02 22:01:27,40130
883,SSS2v0050,20,Yes,airpods,9-20,English,melodies with the same beginning and end few notes sounded more similar even if the middles were more different,,,SONA for course credit,,Yes,Female,sometimes i based it on overall how many notes didn't fit in rather than on patterns,10,9+,"Yes, I do alright","violin, piano",Strongly Agree,Agree,"within the same key, rhythm pattern",2021-12-02 22:25:58,39113
884,SSS2v0052,22,No,in-ear headphone ,play piano since 5 years old. Learning music theory and composition for 2 years. ,Chinese (Mandarin),"I feel like when the experiment goes on, the more consonant appear in the melodic ",,,SONA for course credit,,Yes,Male,,10,9+,"Yes, I do alright","piano, guitar",Agree,Agree,perceive a melodie piece as more consonance or dissonance ,2021-12-02 22:15:16,42174
885,SSS2v0053,20,No,earphones ,,Other (please specify below):,,,,SONA for course credit,hindi,No,Female,,2,0,"Yes, but not so well",ukelele,Strongly Agree,Neither Agree nor Disagree,,2021-12-02 22:12:28,42327
886,SSS2v0054,19,No,,,English,,,,SONA for course credit,,No,Male,,6,0,No,,Agree,Agree,,2021-12-02 22:12:30,42005
887,SSS2v0055,20,No,airpods,,English,,,,SONA for course credit,,No,Female,,1,0,No,,Strongly Agree,Agree,Purely just listening for something that pops out as different,2021-12-02 23:18:23,41322
888,SSS2v0057,21,No,speakers,,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,0,0,No,,Strongly Agree,Strongly Agree,feeling,2021-12-02 23:31:24,41631
889,SSS2v0060,19,No,speakers,5,Chinese (Mandarin),The ending,,,SONA for course credit,,Yes,Female,,5,9+,"Yes, I do alright",Guzheng,Agree,Strongly Disagree,,2021-12-03 00:44:48,40657
890,SSS2v0062,19,No,In ear headphones,14,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,6,1,"Yes, but not so well",Guitar,Strongly Disagree,Neither Agree nor Disagree,By hearing the change of tones,2021-12-03 01:43:23,40758
891,SSS2v0064,21,No,headphones (in ear),,English,,,,SONA for course credit,,No,Female,,0,0,No,,Strongly Agree,Strongly Disagree,,2021-12-03 21:01:19,38685
892,SSS2v0066,18,No,,,English,,,,Poeppel Lab Website,,No,Female,,7,0,No,,Strongly Agree,Disagree,,2021-12-03 13:39:23,41859
893,SSS2v0068,21,No,,8-14,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,7,6-8,"Yes, I do alright",piano,Strongly Agree,Agree,,2021-12-03 15:16:09,42093
894,SSS2v0069,18,No,in-ear,,English,,,,SONA for course credit,,No,Female,,3,0,No,,Strongly Agree,Disagree,,2021-12-03 15:07:06,42137
895,SSS2v0070,19,No,"headphones, over the ears",9,English,,,,SONA for course credit,,No,Female,,8,9+,"Yes, I am near professional","cello, bass, guitar",Disagree,Agree,none,2021-12-03 17:08:07,42319
896,SSS2v0071,20,No,over the head headphones,12-17,English,,,,SONA for course credit,,No,Female,,7,4-5,"Yes, but not so well","piano, cello",Strongly Agree,Strongly Agree,memory,2021-12-03 16:27:08,42021
897,SSS2v0072,22,No,headphones,13-18,English,,,,SONA for course credit,,No,Male,,7,4-5,"Yes, I do alright",guitar and sing ,Agree,Agree,none,2021-12-03 16:19:59,39299
898,SSS2v0074,19,No,Headphones - airpods ,5 years old,English,,,,SONA for course credit,,No,Female,,7,9+,"Yes, I do alright",Piano,Agree,Disagree,,2021-12-03 18:33:56,41765
899,SSS2v0075,18,No,Yes,,English,,,,SONA for course credit,,No,Male,,3,2-3,No,,Agree,Agree,,2021-12-04 20:39:42,41886
900,SSS2v0077,23,No,apple headphones,,English,just slight variations of notes in melodies,,,SONA for course credit,,Yes,Female,,5,0,No,,Agree,Neither Agree nor Disagree,short term memory,2021-12-03 18:54:31,42228
901,SSS2v0078,19,No,in ear airpods,5-17,English,,,,SONA for course credit,,No,Female,,7,9+,No,piano,Agree,Agree,"it was difficult, but i tried memorizing the beginning and last note",2021-12-03 18:59:16,40695
902,SSS2v0082,22,No,in-ear headphones ,,Spanish,,,,SONA for course credit,,No,Female,,4,0,No,,Strongly Agree,Agree,focusing on part of the melody ,2021-12-03 22:18:12,36215
903,SSS2v0083,19,No,in-ear 1st generation airpods,9-17,English,intonation changes,,,SONA for course credit,,Yes,Female,,8,6-8,No,violin,,Agree,"intonation, guessing.",2021-12-03 22:23:10,42227
904,SSS2v0084,19,No,"in-ear, regular white ear buds",5-7,Other (please specify below):,,,,SONA for course credit,Japanese,No,Female,,8,2-3,"Yes, but not so well",piano,Strongly Agree,Strongly Agree,,2021-12-03 22:55:11,41437
905,SSS2v0087,18,No,in-ear,6-18,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,3,6-8,"Yes, I do alright","piano, flute",Agree,Agree,no,2021-12-04 01:54:02,41941
906,SSS2v0090,22,No,headphones,,English,different key; pitch,,,SONA for course credit,,Yes,Female,,0,0,"Yes, but not so well",piano and flute,Strongly Agree,Neither Agree nor Disagree,my memory and the notes,2021-12-04 03:49:12,41105
907,SSS2v0091,18,Yes,,,Chinese (Mandarin),,,,SONA for course credit,,Yes,Female,,6,4-5,"Yes, but not so well",Violin,,,,2021-12-04 13:51:31,41862
908,SSS2v0092,20,No,in-ear headphones,6-20,English,"Sometimes the key would change, other times there were noticeable differences in intervals, like a half step would turn into a tritone",,,SONA for course credit,,Yes,Male,,10,9+,"Yes, I am near professional","Clarinet, Saxophone, Bassoon, Piano",Strongly Agree,Disagree,"Cadences, Note alterations, interval differences, key changes",2021-12-04 15:04:31,41645
909,SSS2v0093,19,No,using airpod pros ,8-9,English,,,,SONA for course credit,,No,Female,,3,2-3,"Yes, but not so well","piano, recorder",Agree,Strongly Agree,"the pitch, and how it felt in my ears ",2021-12-04 15:39:03,42085
910,SSS2v0094,19,No,In-ear headphones.,12-15,Other (please specify below):,,,,SONA for course credit,Korean,No,Female,,3,2-3,"Yes, I do alright","Cello, Piano",Strongly Agree,Strongly Agree,Instinct,2021-12-04 15:52:45,40822
911,SSS2v0095,20,No,In- ear headphones. They are the old apple ones that connect to the MacBook Air. It's with the circular plug in not the usb looking one that newer headphones come as.,12-18,Spanish,"mainly in pitch/ change in notes, so there would be times when the note should have been higher but it stayed the same or when an extra note was added as well. ",,,SONA for course credit,,Yes,Female,,8,6-8,"Yes, I do alright",guitar and ukulele ,Strongly Agree,Disagree,pitch and tempo,2021-12-04 17:18:02,42088
912,SSS2v0096,18,No,over-the-year headphones,,Chinese (Mandarin),I focus on the change of pitch,,,SONA for course credit,,Yes,Male,,3,0,"Yes, but not so well",guitar,Strongly Agree,Agree,find some unique nodes,2021-12-04 16:29:52,42332
913,SSS2v0097,21,No,in-ear Headphones,11-18,English,"All the melodies where quite similar in each set, the difference seemed to be in one or two notes being moved up or down in pitch",,,SONA for course credit,,Yes,Female,,8,6-8,"Yes, I do alright","Guitar, Piano, Saxophone, Ukelele",Strongly Agree,Agree,Listen to the entire line of the melody and recognise any discrepancies between the pitch of the notes ,2021-12-04 20:05:09,41621
914,SSS2v0098,19,No,in-ear airpod pros,7-14,English,,,,SONA for course credit,,No,Male,,7,6-8,"Yes, I am near professional","Piano, Percussion (mallet instruments)",Strongly Agree,Disagree,focus on certain parts and notice if there were shifts in tones,2021-12-04 18:23:40,39138
915,SSS2v0099,,,in-ear,,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,5,0,"Yes, but not so well",Guitar,Agree,Strongly Agree,,2021-12-04 19:19:30,42337
916,SSS2v0100,19,,I used over-the-ear Studio 3 Wireless Beats headphones,,English,,,,SONA for course credit,,No,Male,,5,0,No,,Strongly Agree,Neither Agree nor Disagree,,2021-12-04 19:21:43,38854
917,SSS2v0101,21,No,"over the ear gaming headset, astro a50 wireless ",,English,like the tone or in some instances the gaps between the beats ,,,SONA for course credit,,Yes,Male,,0,0,No,,Strongly Agree,Strongly Agree,I just went with my instinct ,2021-12-04 19:28:30,41932
918,SSS2v0103,23,Yes,AirPods Pro,16,English,"sometimes i would hear the pitch change, or extra sounds included when they should not have been",,,SONA for course credit,,Yes,Male,"When they were very similar, I was forced to press G",5,1,"Yes, but not so well",Trombone,Strongly Agree,Agree,pay attention to pitch changes.,2021-12-04 20:43:31,42320
919,SSS2v0105,18,No,speakers airpods max,middle school - high school,Other (please specify below):,,,,SONA for course credit,Korean,No,Female,,6,6-8,"Yes, I do alright",trumpet ,Agree,Agree,I used difference in pitches or tones,2021-12-04 20:30:23,41738
920,SSS2v0107,19,Yes,headphones,,Other (please specify below):,,,,SONA for course credit,bangali,No,Female,I tried to humm the sounds,0,0,No,,Agree,Neither Agree nor Disagree,,2021-12-04 21:53:52,42167
921,SSS2v0108,20,No,over-the-ear,Middle School,English,I tried to recognize if there were any differences in certain parts of the melodies,,,SONA for course credit,,Yes,Male,,5,2-3,No,,Agree,Agree,Try to memorize the melodic patterns,2021-12-04 23:10:35,41975
922,SSS2v0109,21,No,In-ear noise- cancelling headphones (Sony XM4s),,Other (please specify below):,I mainly noticed changes with high pitch. Certain high pitches I found were more memorable and changes in those for me made it quite obvious (assuming I was correct),,,SONA for course credit,Tagalog (Filipino),Yes,Male,,2,0,"Yes, but not so well",Piano,Strongly Agree,Agree,Changes in pitch,2021-12-04 22:02:15,41695
923,SSS2v0110,24,No,in-ear,,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,6,0,"Yes, but not so well",piano,Neither Agree nor Disagree,Agree,no,2021-12-04 23:23:56,39677
924,SSS2v0111,18,No,airpods pro,,English,,,,SONA for course credit,,No,Male,,1,0,No,,Strongly Agree,Strongly Agree,just listening,2021-12-05 02:22:21,41879
925,SSS2v0112,20,No,Airpod Pros,,English,,,,SONA for course credit,,No,Female,,3,0,No,,Agree,Strongly Agree,,2021-12-05 05:24:08,42141
926,SSS2v0113,21,No,in ear,,Spanish,,,,SONA for course credit,,No,Female,,0,0,No,,Strongly Agree,Strongly Agree,,2021-12-05 18:20:39,39353
927,SSS2v0115,20,Yes,in-ear headphones,6-13 (private lessons),English,high/flat notes; additional notes,,,SONA for course credit,,Yes,Female,I developed my strategy and began focusing on sound changes between particular high/low notes,6,0,"Yes, but not so well",violin,Strongly Agree,Neither Agree nor Disagree,see if any sounds match the initial sound,2021-12-05 15:18:35,39095
928,SSS2v0116,20,No,Over the ear EKSA gaming headphones ,8-13,English,,,,SONA for course credit,,No,Female,,7,2-3,"Yes, I do alright","Piano, Guitar",Strongly Agree,Disagree,"I tried to pick out the main notes, and then listen for any deviations or extra notes apart from them",2021-12-05 16:07:56,42338
929,SSS2v0119,19,No,Headphone (airpods),I started playing piano when I was 4 and played until I was 9. I started playing violin when I was 6 and played until I was nine. Both of those were private lessons/training. I played trombone in my school band/orchestra from 4th grade through 12th grade (9 years old to 17 years old).,English,,,,SONA for course credit,,No,Female,,6,9+,"Yes, but not so well","Trombone, some piano",Strongly Agree,Agree,I tried to envision the notes being played on the piano to help me gage which were higher or lower.,2021-12-05 18:45:22,42333
930,SSS2v0120,23,Yes,I used earphones ,8-16,Other (please specify below):,play in lower or different pitch (sharp notes or flat notes) ,,,SONA for course credit,Korean,Yes,Female,adding irregular notes,4,6-8,"Yes, I do alright","Cello, piano, recorder ",Agree,Neither Agree nor Disagree,"pitch, interval",2021-12-05 18:35:39,42261
931,SSS2v0123,19,No,in-ear,16,English,,,,SONA for course credit,,No,Female,,6,2-3,"Yes, I do alright","piano, guitar",Strongly Agree,Neither Agree nor Disagree,,2021-12-05 21:54:12,41568
932,SSS2v0125,20,Yes,in ear - earphones ,12-15,Other (please specify below):,,,,SONA for course credit,italian,No,Female,I started trying to memorise the initial melody more ,6,2-3,No,,Strongly Agree,Agree,looking for the difference in the middle notes ,2021-12-05 22:33:03,41804
933,SSS2v0126,21,No,speakers,6-12,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,5,6-8,"Yes, I do alright",piano,Agree,Strongly Agree,just try to focus on it,2021-12-05 22:54:24,42330
934,SSS2v0127,20,No,In ear bluetooth earbuds,9-13,English,,,,SONA for course credit,,Yes,Male,,7,4-5,"Yes, I do alright",Piano,Strongly Agree,Strongly Agree,,2021-12-05 23:46:40,40998
935,SSS2v0129,19,No,headphones (in-ear),8-18,English,,,,SONA for course credit,,No,Female,,7,9+,"Yes, I do alright",violin,Agree,Neither Agree nor Disagree,focus on the first and last parts of the melodies,2021-12-10 09:32:36,41624
936,SSS2v0133,21,No,over-the-ear Sony WH-XB900N,13-14,English,I tried to remember the pattern and tone and then see when it was slightly different,,,SONA for course credit,,Yes,Male,,2,1,No,,Strongly Agree,Strongly Agree,Sound and memory,2021-12-06 01:45:32,42295
937,SSS2v0136,18,No,airpods in ear,,English,on the pitch of the note.,,,SONA for course credit,,Yes,Female,,7,0,No,,Strongly Agree,Agree,counting each note and its pitch.,2021-12-09 00:00:35,41851
938,SSS2v0137,21,No,"headphone, in-ear. AKG, not sure about model.","8~10, 15~17",Other (please specify below):,,,,SONA for course credit,Korean,No,Female,,0,4-5,"Yes, but not so well",flute,Agree,Strongly Agree,"none, just feeling",2021-12-06 04:30:37,41612
939,SSS2v0138,21,No,over-the-ear headphones,11-15,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,8,4-5,"Yes, but not so well",piano,Agree,Agree,try to observe the patterns,2021-12-06 08:32:08,42053
940,SSS2v0140,19,No,headphones  inear,,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,2,2-3,"Yes, I do alright",piano,Strongly Agree,Agree,,2021-12-06 13:12:25,41477
941,SSS2v0141,19,Yes,In-ear-monitors. IEMs,17-18,English,"one note was higher/lower, there was a reputation of the same two notes, one melody was a note longer/shorter",,,SONA for course credit,,Yes,Male,Well in the beginning I was doing it by ear but after the 2nd block I changed my strategy to reflect what I wrote down.,6,1,"Yes, but not so well","piano, guitar",Strongly Agree,Disagree,I listened to the notes and tempo of the melodies and counted each note with my finger.,2021-12-06 13:17:15,41763
942,SSS2v0144,41,Yes,"Headphones, over ear, Beats brand",8 to 10 years old,English,towards end of melody,,,SONA for course credit,,Yes,Female,"I payed attention to the mid part, where I heard a slight change I think",5,2-3,"Yes, but not so well",piano,Strongly Agree,Neither Agree nor Disagree,listened more intently to the end of the melody ,2021-12-06 14:02:45,42277
943,SSS2v0145,20,No,Apple earphones,11-16,English,"I could often tell exactly which note/s were different, and how the notes sometimes changed the melody from major to minor or vice versa.",,,SONA for course credit,,Yes,Female,,6,4-5,"Yes, but not so well",Piano,Strongly Agree,Neither Agree nor Disagree,Major minor/1 wrong key versus several wrong keys,2021-12-06 13:41:45,41937
944,SSS2v0147,20,No,in-ear headphones (air pods pro),,English,whether it seemed to contained higher/lower pitches,,,SONA for course credit,,Yes,Female,,0,0,No,,Strongly Agree,Agree,"No ""strategy"" really, just whichever sounded more different. ",2021-12-06 15:39:29,41187
945,SSS2v0149,20,No,speakers,10-14,English,change in key,,,SONA for course credit,,Yes,Female,,6,2-3,"Yes, I do alright",piano,Strongly Agree,Strongly Agree,noting the off key notes,2021-12-06 18:12:04,41890
946,SSS2v0150,19,Yes,"yes, over-ear",10-18,English,,,,SONA for course credit,,No,Male,at first I tried to find single note discrepancies but then I just listened to it as a whole and tried to figure out off of feeling.,7,6-8,"Yes, I do alright","guitar, cajon, vocals",Strongly Agree,Strongly Agree,"the way the melody moved, up or down and the pattern of those movements.",2021-12-06 17:42:23,41730
947,SSS2v0151,19,Yes,headphones,,English,,,,SONA for course credit,,No,Male,Listened for note changes,4,0,"Yes, but not so well",Cello,Strongly Agree,Neither Agree nor Disagree,,2021-12-08 21:02:05,42329
948,SSS2v0152,19,Yes,Headphones,,English,,,,SONA for course credit,,No,Female,"I first used the memorization strategy, then tapping my fingers, then I did visualization",4,0,"Yes, but not so well",Guitar,Agree,Strongly Agree,"Tapping my fingers, repeating the melody in my head ",2021-12-06 18:50:47,42087
949,SSS2v0153,22,No,airpod,11,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,2,1,"Yes, but not so well",violin,Strongly Agree,Agree,,2021-12-06 20:54:15,39181
950,SSS2v0155,19,No,In-ear(airpods first generation),12-14,English,,,,SONA for course credit,,No,Male,,3,2-3,"Yes, I do alright",Trombone,Agree,Disagree,,2021-12-07 20:01:50,42260
951,SSS2v0157,18,No,in-ear,,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,3,0,"Yes, but not so well",Guitar,Strongly Agree,Agree,Just paying attention,2021-12-06 19:12:55,41976
952,SSS2v0158,21,No,headphones in ear ,11,English,some times the notes would be lower than they originally seemed,,,SONA for course credit,French,Yes,Female,,2,1,No,,Strongly Agree,Strongly Agree,closing my eyes and trying to visualize the sounds ,2021-12-06 19:05:48,42123
953,SSS2v0159,18,Yes,airpods,8-10,English,the pitches,,,SONA for course credit,,Yes,Female,3 had more pitches,0,2-3,"Yes, but not so well",,Strongly Agree,Strongly Agree,,2021-12-06 21:19:29,41943
954,SSS2v0160,21,No,I used in-ear earbuds from apple,7,English,Sometimes I would notice that a lower/higher note was played in one of the options than was played at that part of the test melody.,,,SONA for course credit,,Yes,Female,,6,1,No,,Strongly Agree,Agree,"I tried to remember key parts of the test melody, and noticed if either option stood out to me as being different from these key features.",2021-12-06 21:09:33,37119
955,SSS2v0161,20,No,airpods,8-19,English,,,,SONA for course credit,,No,Female,,10,9+,"Yes, I am a professional","xylophone, piano, triangle, ukelele",Strongly Agree,Neither Agree nor Disagree,tune and melody,2021-12-06 23:00:32,38281
956,SSS2v0162,19,Yes,in ear air pod pros ,5-13,English,,,,SONA for course credit,,No,Male,block 4 and i started paying more attention to the last few notes,7,6-8,"Yes, I do alright",Piano,Strongly Agree,Agree,"Beginning, ending, themes",2021-12-06 22:05:45,42019
957,SSS2v0164,19,,headphone,"I studied piano from age 4 to 12, and I have been study singing from 17 to 18",Chinese (Mandarin),,,,SONA for course credit,,No,Female,,4,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,just listen,2021-12-07 01:10:08,41983
958,SSS2v0165,21,No,in-ear,6-13,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,4,2-3,"Yes, but not so well",violin,Neither Agree nor Disagree,Agree,compared the similarity,2021-12-07 03:43:14,39640
959,SSS2v0166,19,No,over the ear headphones,,Chinese (Mandarin),I focused on how melodies changed,,,SONA for course credit,,Yes,Male,,2,0,"Yes, but not so well",Saxophone,Strongly Agree,Strongly Agree,tone,2021-12-07 03:48:15,39580
960,SSS2v0167,18,No,airpods ,,English,,,,SONA for course credit,,No,Female,,3,0,No,,Agree,Neither Agree nor Disagree,I just listened ,2021-12-10 09:07:15,41588
961,SSS2v0170,19,No,I used my AirPods 2. ,,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,0,0,No,,Strongly Agree,Agree,,2021-12-07 16:45:05,41846
962,SSS2v0171,20,No,in ear wired earbuds,,English,,,,SONA for course credit,,No,Female,,3,0,No,,Strongly Agree,Agree,hearing if there were any slight changes in tone,2021-12-07 13:20:08,38871
963,SSS2v0173,18,No,in ear earbuds,,English,,,,SONA for course credit,,No,Female,,4,0,"Yes, but not so well",piano,Strongly Agree,Agree,,2021-12-08 01:04:15,41475
964,SSS2v0175,20,No,airpods ,11-18,English,,,,SONA for course credit,,No,Female,,6,6-8,"Yes, I do alright",guitar,Agree,Disagree,checking if the notes are the same if any new notes were added or removed,2021-12-07 20:25:37,42349
965,SSS2v0176,20,No,Zoom headphone recorders - provided by Tisch Film,,English,The length and duration were also used to come to a conclusion. ,,,SONA for course credit,,Yes,Male,,1,0,No,,Agree,Agree,"If they had the same beats/tones, they were similar to me.",2021-12-07 14:42:07,42069
966,SSS2v0178,19,No,"headphones, AirPods",14,English,,,,SONA for course credit,,No,Male,,7,6-8,"Yes, I do alright",guitar,Strongly Agree,Strongly Disagree,memorization,2021-12-07 15:08:28,42071
967,SSS2v0180,18,No,,,English,,,,SONA for course credit,,No,Female,,3,0,No,,Agree,Strongly Agree,,2021-12-07 15:08:52,41929
